uuid,location,quantity
A026529,011511,2.0
A026598,011511,7.0
A027333,011511,3.0
A028849,011511,4.0
A029816,011511,3.0
A030007,011511,3.0
A030178,011511,2.0
A030187,011511,5.0
A000209,042409,13.0
A004271,042409,21.0
A008635,042409,3.0
A029311,042409,3.0
A000211,020703,5.0
A001682,020703,25.0
A003430,020703,1.0
A007458,020703,1.0
A013213,020703,30.0
A016628,020703,9.0
A021167,020703,1.0
A022027,020703,6.0
A024266,020703,3.0
A000212,021702,6.0
A004606,021702,1.0
A017025,021702,8.0
A017995,021702,4.0
A027823,021702,1.0
A000213,010810,18.0
A000575,010810,10.0
A000655,010810,2.0
A000740,010810,7.0
A000787,010810,16.0
A001516,010810,22.0
A005214,010810,3.0
A005340,010810,1.0
A005412,010810,10.0
A005960,010810,5.0
A005996,010810,6.0
A006008,010810,13.0
A006297,010810,13.0
A006760,010810,1.0
A006979,010810,3.0
A007319,010810,37.0
A008912,010810,1.0
A012901,010810,1.0
A012914,010810,9.0
A014682,010810,10.0
A015809,010810,8.0
A015860,010810,7.0
A020432,010810,2.0
A026954,010810,1.0
A026957,010810,2.0
A000217,011807,12.0
A013150,011807,2.0
A014367,011807,6.0
A017146,011807,1.0
A017420,011807,2.0
A018405,011807,2.0
A020920,011807,1.0
A021060,011807,2.0
A022026,011807,2.0
A025318,011807,4.0
A000222,012722,2.0
A000747,012722,188.0
A014064,012722,1.0
A014337,012722,2.0
A014647,012722,10.0
A015791,012722,1.0
A015801,012722,10.0
A015821,012722,8.0
A015830,012722,3.0
A015949,012722,2.0
A017187,012722,4.0
A017588,012722,4.0
A017599,012722,3.0
A017718,012722,1.0
A017933,012722,2.0
A018260,012722,2.0
A018522,012722,1.0
A018683,012722,1.0
A019769,012722,13.0
A019791,012722,2.0
A019945,012722,1.0
A019947,012722,1.0
A020168,012722,1.0
A020768,012722,4.0
A022352,012722,3.0
A022750,012722,4.0
A022923,012722,4.0
A023912,012722,3.0
A024171,012722,2.0
A027593,012722,3.0
A029624,012722,2.0
A029994,012722,1.0
A029996,012722,2.0
A029998,012722,2.0
A000227,011510,5.0
A000796,011510,1.0
A002420,011510,2.0
A003473,011510,3.0
A008045,011510,12.0
A010792,011510,13.0
A013212,011510,1.0
A015204,011510,3.0
A015507,011510,10.0
A017685,011510,1.0
A019821,011510,2.0
A019877,011510,2.0
A020196,011510,1.0
A023153,011510,3.0
A024384,011510,1.0
A026952,011510,2.0
A026978,011510,3.0
A029178,011510,2.0
A000235,041101,10.0
A014758,041101,71.0
A014922,041101,819.0
A016090,041101,11.0
A024272,041101,72.0
A000248,012807,6.0
A000609,012807,4.0
A001705,012807,55.0
A001741,012807,10.0
A004693,012807,34.0
A006217,012807,15.0
A007548,012807,6.0
A007921,012807,25.0
A008740,012807,2.0
A014496,012807,9.0
A014744,012807,1.0
A014773,012807,9.0
A014939,012807,10.0
A016243,012807,9.0
A016555,012807,3.0
A016611,012807,4.0
A017446,012807,3.0
A017449,012807,10.0
A017848,012807,4.0
A017937,012807,7.0
A018036,012807,11.0
A018041,012807,3.0
A018182,012807,2.0
A018304,012807,1.0
A018387,012807,2.0
A018574,012807,3.0
A018890,012807,7.0
A018891,012807,4.0
A019283,012807,5.0
A020096,012807,1.0
A020162,012807,3.0
A020759,012807,2.0
A020820,012807,2.0
A020869,012807,5.0
A020874,012807,2.0
A021727,012807,19.0
A021729,012807,4.0
A021730,012807,12.0
A022604,012807,11.0
A022901,012807,2.0
A023374,012807,5.0
A024913,012807,1.0
A024941,012807,2.0
A026158,012807,2.0
A026160,012807,11.0
A029384,012807,2.0
A000253,010307,21.0
A005016,010307,2.0
A017109,010307,2.0
A017121,010307,1.0
A017910,010307,1.0
A020279,010307,2.0
A020418,010307,2.0
A020933,010307,2.0
A021588,010307,2.0
A024837,010307,1.0
A027892,010307,4.0
A029410,010307,3.0
A029619,010307,2.0
A000254,012323,10.0
A001013,012323,60.0
A005818,012323,6.0
A014348,012323,1.0
A015465,012323,64.0
A017942,012323,8.0
A017951,012323,17.0
A018137,012323,2.0
A000259,021111,8.0
A007825,021111,1.0
A008782,021111,1.0
A008919,021111,1.0
A011585,021111,1.0
A012810,021111,6.0
A012834,021111,10.0
A018668,021111,1.0
A000261,021907,16.0
A000506,021907,4.0
A000540,021907,40.0
A001455,021907,4.0
A001505,021907,6.0
A002010,021907,3.0
A004817,021907,1.0
A005002,021907,5.0
A005014,021907,4.0
A006150,021907,48.0
A006871,021907,1.0
A007352,021907,7.0
A011507,021907,1.0
A013771,021907,79.0
A016989,021907,2.0
A017277,021907,1.0
A017486,021907,2.0
A019885,021907,2.0
A020056,021907,1.0
A021237,021907,2.0
A000263,012319,10.0
A000404,012319,25.0
A000573,012319,3.0
A001189,012319,4.0
A004371,012319,60.0
A008204,012319,9.0
A009143,012319,1.0
A011175,012319,3.0
A012577,012319,12.0
A018001,012319,1.0
A023351,012319,5.0
A000264,010103,15.0
A000572,010103,3.0
A001140,010103,24.0
A002787,010103,20.0
A003434,010103,2.0
A004427,010103,34.0
A004433,010103,28.0
A004867,010103,4.0
A004956,010103,6.0
A012561,010103,3.0
A013032,010103,3.0
A016954,010103,2.0
A018619,010103,1.0
A019961,010103,7.0
A020540,010103,32.0
A024173,010103,20.0
A000269,021101,35.0
A001246,021101,20.0
A001264,021101,23.0
A004350,021101,4.0
A005042,021101,3.0
A015772,021101,1.0
A021158,021101,6.0
A024270,021101,11.0
A030106,021101,2.0
A000270,012817,3.0
A000761,012817,55.0
A001592,012817,3.0
A001605,012817,2.0
A002230,012817,5.0
A002264,012817,1.0
A003793,012817,1.0
A003947,012817,4.0
A006753,012817,3.0
A006791,012817,2.0
A006916,012817,3.0
A007199,012817,7.0
A011018,012817,18.0
A011176,012817,2.0
A013247,012817,1.0
A014880,012817,12.0
A015460,012817,1.0
A016168,012817,1.0
A016736,012817,4.0
A017716,012817,4.0
A017777,012817,1.0
A018049,012817,3.0
A018686,012817,1.0
A018857,012817,1.0
A019979,012817,4.0
A020478,012817,2.0
A024942,012817,4.0
A025873,012817,6.0
A026946,012817,1.0
A026948,012817,5.0
A027588,012817,5.0
A028254,012817,2.0
A000275,022001,28.0
A011086,022001,4.0
A019280,022001,13.0
A020377,022001,3.0
A022132,022001,2.0
A027223,022001,6.0
A000278,010207,5.0
A004674,010207,29.0
A006203,010207,29.0
A007853,010207,11.0
A009904,010207,3.0
A010013,010207,2.0
A012667,010207,8.0
A013668,010207,13.0
A014328,010207,3.0
A027104,010207,2.0
A000280,012318,7.0
A007468,012318,3.0
A007843,012318,2.0
A010063,012318,3.0
A013517,012318,88.0
A017909,012318,2.0
A018278,012318,1.0
A023265,012318,1.0
A024388,012318,10.0
A025217,012318,6.0
A027131,012318,2.0
A029388,012318,10.0
A030088,012318,2.0
A000281,012718,2.0
A000301,012718,6.0
A000807,012718,47.0
A002207,012718,1.0
A002268,012718,2.0
A003984,012718,8.0
A004181,012718,5.0
A004524,012718,4.0
A005355,012718,6.0
A005452,012718,2.0
A005664,012718,5.0
A005829,012718,3.0
A005954,012718,4.0
A005989,012718,5.0
A006094,012718,15.0
A006174,012718,12.0
A006294,012718,9.0
A006295,012718,10.0
A007570,012718,244.0
A007732,012718,1.0
A008027,012718,4.0
A008047,012718,3.0
A009132,012718,2.0
A009475,012718,2.0
A009891,012718,2.0
A009892,012718,1.0
A010865,012718,12.0
A011419,012718,1.0
A012121,012718,1.0
A012640,012718,158.0
A013051,012718,1.0
A015271,012718,2.0
A024424,012718,3.0
A027214,012718,2.0
A030461,012718,1.0
A000282,010607,7.0
A001169,010607,2.0
A003964,010607,1.0
A005023,010607,2.0
A005562,010607,4.0
A006171,010607,20.0
A014692,010607,13.0
A015189,010607,1.0
A015652,010607,1.0
A016124,010607,2.0
A016156,010607,1.0
