"location","aisle","bay","loclevel","x_length","y_width","z_height","heightfromfloor","attractiveness","distance_from_io_to_aisle","fetch_tool","putaway_zone","fetch_zone","volume","available_volume"
"010602","01",6,2,7.35576923076923,-24.798750000000002,0.0,0.55,0.023722248960440874,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
"010603","01",6,3,6.375,-24.798750000000002,0.0,0.8499999999999999,0.024287318983575702,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010604","01",6,4,7.35576923076923,-24.798750000000002,0.0,1.15,0.023722248960440874,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
"010605","01",6,5,6.375,-24.798750000000002,0.0,1.45,0.024287318983575702,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010606","01",6,6,7.96875,-24.798750000000002,0.0,1.75,0.023382241187817853,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.6096093749999999,0.6096093749999999
"010607","01",6,7,6.375,-24.798750000000002,2.175,2.175,0.00045252989667045475,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010608","01",6,8,8.693181818181818,-24.798750000000002,2.6,2.6,0.0003795356286699316,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.9421235795454543,0.9421235795454543
"010609","01",6,9,6.375,-24.798750000000002,3.025,3.025,0.00032681887983645986,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010610","01",6,10,5.215909090909091,-24.798750000000002,3.4499999999999997,3.4499999999999997,0.0002869606171661994,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.9421235795454543,0.9421235795454543
"010611","01",6,11,6.375,-24.798750000000002,3.8749999999999996,3.8749999999999996,0.00025576764021421823,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010612","01",6,12,5.737500000000001,-24.798750000000002,4.3,4.3,0.00023069121721048757,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",1.0363359375,1.0363359375
"010613","01",6,13,6.375,-24.798750000000002,4.95,4.95,0.00020060990426143082,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",1.0566562499999999,1.0566562499999999
"010615","01",6,15,6.375,-24.798750000000002,5.6000000000000005,5.6000000000000005,0.00017746862742879679,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010617","01",6,17,6.375,-24.798750000000002,6.250000000000001,6.250000000000001,0.0001591140845997654,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010619","01",6,19,6.375,-24.798750000000002,6.900000000000001,6.900000000000001,0.00014420029132063852,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010621","01",6,21,6.375,-24.798750000000002,7.550000000000002,7.550000000000002,0.0001318426543617917,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010623","01",6,23,6.375,-24.798750000000002,8.200000000000003,8.200000000000003,0.00012143587601336336,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010624","01",6,24,6.375,-24.798750000000002,8.65,8.65,0.00011514371590936405,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
"010625","01",6,25,6.375,-24.798750000000002,9.1,9.1,0.00010947148671447196,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
"010626","01",6,26,6.375,-24.798750000000002,9.549999999999999,9.549999999999999,0.0001043318723828187,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
"010627","01",6,27,6.375,-24.798750000000002,9.999999999999998,9.999999999999998,9.965321925364973e-05,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
"010701","01",7,1,8.924999999999999,-24.798750000000002,0.0,0.25,0.02287086537636868,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010702","01",7,2,9.5625,-24.798750000000002,0.0,0.55,0.0225421961734622,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010703","01",7,3,8.924999999999999,-24.798750000000002,0.0,0.8499999999999999,0.02287086537636868,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010704","01",7,4,8.924999999999999,-24.798750000000002,0.0,1.15,0.02287086537636868,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010705","01",7,5,9.5625,-24.798750000000002,0.0,1.45,0.0225421961734622,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010706","01",7,6,9.5625,-24.798750000000002,0.0,1.75,0.0225421961734622,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010707","01",7,7,8.924999999999999,-24.798750000000002,2.175,2.175,0.00045252989667045475,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010708","01",7,8,11.15625,-24.798750000000002,2.6,2.6,0.0003795356286699316,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.8636132812499998,0.8636132812499998
"010709","01",7,9,8.924999999999999,-24.798750000000002,3.025,3.025,0.00032681887983645986,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010710","01",7,10,8.924999999999999,-24.798750000000002,3.4499999999999997,3.4499999999999997,0.0002869606171661994,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010711","01",7,11,8.924999999999999,-24.798750000000002,3.8749999999999996,3.8749999999999996,0.00025576764021421823,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010712","01",7,12,8.924999999999999,-24.798750000000002,4.3,4.3,0.00023069121721048757,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010713","01",7,13,1.59375,-24.798750000000002,4.95,4.95,0.00020060990426143082,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",1.3208203125,1.3208203125
"010801","01",8,1,8.924999999999999,-24.798750000000002,0.0,0.25,0.02287086537636868,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010802","01",8,2,10.298076923076923,-24.798750000000002,0.0,0.55,0.022174509122465127,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
"010803","01",8,3,8.924999999999999,-24.798750000000002,0.0,0.8499999999999999,0.02287086537636868,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010804","01",8,4,10.298076923076923,-24.798750000000002,0.0,1.15,0.022174509122465127,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
"010805","01",8,5,8.924999999999999,-24.798750000000002,0.0,1.45,0.02287086537636868,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010806","01",8,6,11.15625,-24.798750000000002,0.0,1.75,0.02176041780002176,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.6096093749999999,0.6096093749999999
"010807","01",8,7,8.924999999999999,-24.798750000000002,2.175,2.175,0.00045252989667045475,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010808","01",8,8,12.170454545454545,-24.798750000000002,2.6,2.6,0.0003795356286699316,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.9421235795454543,0.9421235795454543
"010809","01",8,9,8.924999999999999,-24.798750000000002,3.025,3.025,0.00032681887983645986,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010810","01",8,10,8.693181818181818,-24.798750000000002,3.4499999999999997,3.4499999999999997,0.0002869606171661994,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.9421235795454543,0.9421235795454543
"010811","01",8,11,8.924999999999999,-24.798750000000002,3.8749999999999996,3.8749999999999996,0.00025576764021421823,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010812","01",8,12,9.562500000000002,-24.798750000000002,4.3,4.3,0.00023069121721048757,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",1.0363359375,1.0363359375
"010813","01",8,13,8.924999999999999,-24.798750000000002,4.95,4.95,0.00020060990426143082,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",1.0566562499999999,1.0566562499999999
"010815","01",8,15,8.924999999999999,-24.798750000000002,5.6000000000000005,5.6000000000000005,0.00017746862742879679,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010817","01",8,17,8.924999999999999,-24.798750000000002,6.250000000000001,6.250000000000001,0.0001591140845997654,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010819","01",8,19,8.924999999999999,-24.798750000000002,6.900000000000001,6.900000000000001,0.00014420029132063852,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010821","01",8,21,8.924999999999999,-24.798750000000002,7.550000000000002,7.550000000000002,0.0001318426543617917,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010823","01",8,23,8.924999999999999,-24.798750000000002,8.200000000000003,8.200000000000003,0.00012143587601336336,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010824","01",8,24,8.924999999999999,-24.798750000000002,8.65,8.65,0.00011514371590936405,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
"010825","01",8,25,8.924999999999999,-24.798750000000002,9.1,9.1,0.00010947148671447196,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
"010826","01",8,26,8.924999999999999,-24.798750000000002,9.549999999999999,9.549999999999999,0.0001043318723828187,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
"010827","01",8,27,8.924999999999999,-24.798750000000002,9.999999999999998,9.999999999999998,9.965321925364973e-05,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
"010901","01",9,1,11.475,-24.798750000000002,0.0,0.25,0.021610524325346443,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010902","01",9,2,12.294642857142858,-24.798750000000002,0.0,0.55,0.0212344012467627,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010903","01",9,3,11.475,-24.798750000000002,0.0,0.8499999999999999,0.021610524325346443,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010904","01",9,4,11.475,-24.798750000000002,0.0,1.15,0.021610524325346443,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010907","01",9,7,11.475,-24.798750000000002,1.575,1.575,0.0006211956618800953,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
